iter	MultiClass
0	1.096730841
1	1.095560947
2	1.094145405
3	1.091951637
4	1.090396143
5	1.088714651
6	1.086939661
7	1.085527074
8	1.085443599
9	1.083229254
10	1.081255789
11	1.079433638
12	1.077149966
13	1.075885717
14	1.074324579
15	1.073439262
16	1.072275788
17	1.071220977
18	1.069543613
19	1.068628469
20	1.06700477
21	1.065153299
22	1.063530182
23	1.062387714
24	1.060848856
25	1.059209316
26	1.057403175
27	1.056695317
28	1.055464343
29	1.054030078
30	1.052909036
31	1.051464861
32	1.050752588
33	1.049695485
34	1.048497972
35	1.047682823
36	1.04666383
37	1.045402775
38	1.043904046
39	1.042927917
40	1.041792004
41	1.040468301
42	1.039448065
43	1.038124247
44	1.037111612
45	1.036078041
46	1.034604752
47	1.033503882
48	1.03184584
49	1.030526848
50	1.02933744
51	1.028003393
52	1.026748356
53	1.025844302
54	1.024248569
55	1.023271044
56	1.022399977
57	1.021705764
58	1.020280854
59	1.019490717
60	1.018623512
61	1.017865852
62	1.016781179
63	1.015654074
64	1.014927705
65	1.01334115
66	1.012042749
67	1.010895796
68	1.009503779
69	1.0081539
70	1.006578165
71	1.005626921
72	1.004713522
73	1.003207533
74	1.002182371
75	1.001118685
76	0.9999294155
77	0.9983153194
78	0.9969703215
79	0.9958215141
80	0.994999357
81	0.9933589548
82	0.9926191476
83	0.9914962379
84	0.9910514739
85	0.9897925786
86	0.9884508699
87	0.9870503664
88	0.9856726276
89	0.9851002384
90	0.9841382995
91	0.9830327616
92	0.9822753422
93	0.9816298849
94	0.9810646199
95	0.9803575276
96	0.97903775
97	0.9776856182
98	0.9772628912
99	0.9767141007
100	0.97556789
101	0.9748632671
102	0.9741431542
103	0.9731641084
104	0.9722151878
105	0.9716644866
106	0.9708420848
107	0.970008286
108	0.9688718952
109	0.9676914188
110	0.9672323804
111	0.9664671941
112	0.9655280397
113	0.9645377742
114	0.963781972
115	0.963130607
116	0.9620199947
117	0.9616948026
118	0.9607963514
119	0.9601502924
120	0.9592912015
121	0.9586042256
122	0.9577480008
123	0.9573512864
124	0.9564028123
125	0.9552150112
126	0.9545590857
127	0.9533212071
128	0.9524247619
129	0.9513630092
130	0.9508554078
131	0.9503783064
132	0.9489670699
133	0.9480239049
134	0.9469507779
135	0.946359229
136	0.9457579176
137	0.9448629418
138	0.9440308115
139	0.9435629905
140	0.9423589612
141	0.9415909347
142	0.9406663213
143	0.939794714
144	0.9393618637
145	0.9387806294
146	0.9378592413
147	0.936954695
148	0.9360710529
149	0.9351040222
150	0.9340538061
151	0.9335460677
152	0.9324831632
153	0.9313292683
154	0.9305374083
155	0.9296219384
156	0.928336893
157	0.927726834
158	0.9271175606
159	0.926303288
160	0.9249034522
161	0.9244499852
162	0.9236348972
163	0.9227253237
164	0.9220641536
165	0.9212370915
166	0.9202758824
167	0.9192772306
168	0.9181113738
169	0.917111438
170	0.9164276726
171	0.9160183531
172	0.9150426795
173	0.9139352625
174	0.9128327494
175	0.9118347612
176	0.9108937138
177	0.9101910462
178	0.9089695777
179	0.9080325502
180	0.9074859064
181	0.9070840548
182	0.9060525108
183	0.905125981
184	0.9045081184
185	0.9036242884
186	0.9031037733
187	0.9020480699
188	0.9013855245
189	0.9006217489
190	0.899853559
191	0.8992019983
192	0.897731018
193	0.8964075097
194	0.8956405068
195	0.8944516258
196	0.8936659193
197	0.8929439899
198	0.8919113504
199	0.8909146341
200	0.8903747838
201	0.8894278322
202	0.8887372029
203	0.8878996214
204	0.886757061
205	0.8859196415
206	0.885336932
207	0.8846083196
208	0.8843004123
209	0.8837091724
210	0.8831460875
211	0.8823984
212	0.8820480283
213	0.881372989
214	0.8803622745
215	0.8796421217
216	0.8790886463
217	0.8784153882
218	0.8777815347
219	0.8771396538
220	0.8765405296
221	0.876129337
222	0.8750967363
223	0.8740444722
224	0.8731975828
225	0.8728024712
226	0.8721855436
227	0.8713752059
228	0.8707540838
229	0.8700855713
230	0.8692098176
231	0.8688372839
232	0.8674040802
233	0.8667737793
234	0.8660665212
235	0.8652010707
236	0.8642902862
237	0.8633529261
238	0.8625524835
239	0.8619445307
240	0.8614484119
241	0.8609719222
242	0.8605907681
243	0.859840301
244	0.8591751133
245	0.8586221553
246	0.8581917682
247	0.8574566503
248	0.8567463469
249	0.8559183151
250	0.8549922602
251	0.8544097736
252	0.8531830294
253	0.8522977647
254	0.8513348571
255	0.8504724712
256	0.8495903773
257	0.8483917744
258	0.8476671606
259	0.8470111214
260	0.8463699854
261	0.8451522509
262	0.8445492846
263	0.8439912429
264	0.8434251581
265	0.8429643718
266	0.8421876798
267	0.8414971602
268	0.8406177954
269	0.8399190451
270	0.8395087381
271	0.8387082391
272	0.8380440442
273	0.8370051633
274	0.836225922
275	0.8356772862
276	0.8349161434
277	0.8333353892
278	0.8322117568
279	0.8314154076
280	0.8306977294
281	0.8300168621
282	0.8292052176
283	0.8284394515
284	0.827844186
285	0.8272035764
286	0.8266243859
287	0.8256241856
288	0.8252803261
289	0.8247347361
290	0.8238692993
291	0.8234470758
292	0.8224823308
293	0.821520428
294	0.8208123662
295	0.8200555786
296	0.8194897357
297	0.8187874316
298	0.8179890868
299	0.8174572027
300	0.8171272967
301	0.8166085642
302	0.8159553959
303	0.8151834789
304	0.8141997075
305	0.8133325204
306	0.8125727222
307	0.8115952262
308	0.811054249
309	0.8104371488
310	0.8094483222
311	0.8089494599
312	0.8086068574
313	0.8081899174
314	0.8077975239
315	0.8071917733
316	0.8066878343
317	0.8061938689
318	0.8055600852
319	0.8049228497
320	0.8045206277
321	0.8040359815
322	0.8034856
323	0.8028419805
324	0.8018204977
325	0.8009750143
326	0.8004608642
327	0.7998111807
328	0.7991553783
329	0.7988223467
330	0.7982492813
331	0.7974129421
332	0.796154698
333	0.7955145068
334	0.7951123853
335	0.7944448358
336	0.793500442
337	0.7925757109
338	0.7915660381
339	0.7910680734
340	0.7907416018
341	0.7902613806
342	0.789828165
343	0.7893782964
344	0.7888676332
345	0.7883000896
346	0.7874543707
347	0.7866155588
348	0.786256002
349	0.7859300492
350	0.7853050259
351	0.7848121796
352	0.7841925327
353	0.7835457845
354	0.7827295048
355	0.7822775364
356	0.7818572251
357	0.7812742405
358	0.7804520126
359	0.7797083216
360	0.7789549345
361	0.7778763208
362	0.7773017702
363	0.7767558646
364	0.7757305888
365	0.7748823077
366	0.77434578
367	0.7738005785
368	0.7727268715
369	0.7718044489
370	0.7714181854
371	0.7705407849
372	0.7699522375
373	0.76938261
374	0.7685689314
375	0.7678910576
376	0.7672513935
377	0.7661735028
378	0.7652653726
379	0.7647266742
380	0.7641038284
381	0.7634985774
382	0.7627050104
383	0.7623455227
384	0.7613821339
385	0.7604519929
386	0.7598076962
387	0.7591191453
388	0.7584320318
389	0.7575853435
390	0.7570661433
391	0.7564932366
392	0.7556345146
393	0.7550780157
394	0.7538860288
395	0.7533725728
396	0.7527625511
397	0.7522023903
398	0.7516588855
399	0.7509989984
400	0.7503107051
401	0.7498120769
402	0.7491987119
403	0.7486111176
404	0.748010976
405	0.7474399734
406	0.7469326269
407	0.7465521931
408	0.7457874501
409	0.7452616669
410	0.7448782954
411	0.7445087922
412	0.7441169127
413	0.7438126878
414	0.7429830825
415	0.7422334766
416	0.7418816498
417	0.7413171908
418	0.7407564492
419	0.7403678205
420	0.7394474103
421	0.7387800545
422	0.7382765649
423	0.7378835069
424	0.7375155082
425	0.7369703487
426	0.7365083697
427	0.7359834704
428	0.7354971202
429	0.7347910938
430	0.7344647565
431	0.7339980465
432	0.7333536237
433	0.7328106059
434	0.7321219581
435	0.7314946174
436	0.7310337727
437	0.7306220035
438	0.7298815714
439	0.7291025029
440	0.7284416862
441	0.7278991999
442	0.7272699538
443	0.7268232204
444	0.7262792175
445	0.7257850379
446	0.7251899544
447	0.7245374417
448	0.7238224106
449	0.7234574827
450	0.7230049262
451	0.7225846297
452	0.7220264983
453	0.7215664377
454	0.7211879985
455	0.7206075887
456	0.7202027808
457	0.7198698759
458	0.7194190611
459	0.7186855756
460	0.7180425378
461	0.7175581221
462	0.7170105698
463	0.7161191226
464	0.7158166862
465	0.7153742646
466	0.7147127011
467	0.7142058911
468	0.7137845137
469	0.7133523511
470	0.7128424006
471	0.7123757676
472	0.7117021373
473	0.7109799518
474	0.710629289
475	0.7097551988
476	0.7092314526
477	0.708450315
478	0.7079316895
479	0.7073342435
480	0.7069098296
481	0.7060766755
482	0.705365315
483	0.7048740145
484	0.7041646476
485	0.7036702533
486	0.7031341367
487	0.7025853519
488	0.7020439838
489	0.7014980725
490	0.7009638595
491	0.700425727
492	0.6999563065
493	0.6994396418
494	0.6990787951
495	0.6983617822
496	0.6976940228
497	0.697281464
498	0.6965493906
499	0.6962581041
500	0.6956708625
501	0.6950731262
502	0.6947158184
503	0.6942850769
504	0.6938236839
505	0.6931018357
506	0.6926760373
507	0.6920013921
508	0.6914914864
509	0.6910800052
510	0.690627335
511	0.6899996399
512	0.6892255728
513	0.6887387046
514	0.6883276954
515	0.6879215042
516	0.6873619887
517	0.6870770978
518	0.686522426
519	0.6859500537
520	0.6852318032
521	0.6847865383
522	0.6842829617
523	0.6838535931
524	0.6831161902
525	0.6825354225
526	0.6822267898
527	0.6816642751
528	0.6811332941
529	0.6808882423
530	0.6804141064
531	0.680020007
532	0.6793558684
533	0.6788006148
534	0.6784780631
535	0.6778901486
536	0.6775669298
537	0.6767929077
538	0.6763618026
539	0.675908454
540	0.6754771967
541	0.6749178237
542	0.6746245077
543	0.6739253778
544	0.6735914729
545	0.673139472
546	0.6722786432
547	0.6719596288
548	0.6715356644
549	0.6711892955
550	0.6708794551
551	0.6704102392
552	0.6699698856
553	0.6695836474
554	0.6691661407
555	0.6687265538
556	0.6685121825
557	0.6680407567
558	0.6673479446
559	0.6668961258
560	0.6664685858
561	0.666100997
562	0.6657500289
563	0.6654552612
564	0.6648647397
565	0.6644382682
566	0.6639253403
567	0.6635988897
568	0.6633076955
569	0.6627025144
570	0.6621409173
571	0.6617916872
572	0.6613786854
573	0.6609783476
574	0.6605217303
575	0.6601443058
576	0.659736143
577	0.6592064981
578	0.6587353108
579	0.6582614544
580	0.657341935
581	0.6569547585
582	0.6565633394
583	0.655841324
584	0.6555133427
585	0.6549657612
586	0.6547907895
587	0.6544422755
588	0.6539065356
589	0.6534271837
590	0.6526473629
591	0.6522049536
592	0.6515426239
593	0.6509346267
594	0.6504425106
595	0.650064496
596	0.6495694587
597	0.6491874691
598	0.6485069756
599	0.6481956155
600	0.6477161727
601	0.6473447053
602	0.6465059871
603	0.6458534757
604	0.6454868607
605	0.6448882226
606	0.6445595749
607	0.6441022677
608	0.6435496314
609	0.6430425544
610	0.6427338594
611	0.6423869193
612	0.6417434691
613	0.6411255121
614	0.6405876039
615	0.640293526
616	0.6398371249
617	0.6393277762
618	0.6388895925
619	0.6381671923
620	0.6377297172
621	0.6373312281
622	0.6368112673
623	0.6363210266
624	0.6361073058
625	0.6355309434
626	0.6348883794
627	0.6345243104
628	0.6339537331
629	0.6333783675
630	0.6328210297
631	0.6324027454
632	0.6320290083
633	0.6314139991
634	0.6308153949
635	0.6303570791
636	0.6299756731
637	0.6295622933
638	0.6290395016
639	0.6286715455
640	0.6281410599
641	0.6277093979
642	0.6270368789
643	0.626665647
644	0.6262087942
645	0.6258648389
646	0.6254275033
647	0.6251580591
648	0.6247860844
649	0.6243629962
650	0.6240040172
651	0.6236275593
652	0.6232015161
653	0.6227421184
654	0.6224775157
655	0.6220129728
656	0.6216038643
657	0.6212601202
658	0.6208493116
659	0.6204337596
660	0.6195765956
661	0.6191577391
662	0.6188046446
663	0.6183757469
664	0.6179804847
665	0.6178231479
666	0.6175565436
667	0.6170199538
668	0.6166009039
669	0.6163130304
670	0.6159415347
671	0.6154999353
672	0.6149400927
673	0.6144175669
674	0.6141761928
675	0.6137148509
676	0.6132364854
677	0.612837992
678	0.6124648922
679	0.6120572184
680	0.6116893163
681	0.6113867373
682	0.6110277952
683	0.6106305293
684	0.6099357462
685	0.6097287928
686	0.6091767793
687	0.6088721282
688	0.6084707923
689	0.6081137405
690	0.6078435612
691	0.6073667981
692	0.6070061103
693	0.6067303093
694	0.6063948481
695	0.6060474664
696	0.6057039394
697	0.6054172455
698	0.6050502019
699	0.6047594743
700	0.6041310266
701	0.6037014699
702	0.603261018
703	0.6027050641
704	0.6021274189
705	0.6018876986
706	0.6011807767
707	0.6007384262
708	0.6003153009
709	0.5998416757
710	0.5994855796
711	0.5989443786
712	0.598658977
713	0.5981711438
714	0.5978811003
715	0.5972662242
716	0.5968178214
717	0.5963465332
718	0.5956921345
719	0.595362465
720	0.5950772759
721	0.5947315983
722	0.5942897547
723	0.5939597685
724	0.5935182371
725	0.5929079834
726	0.5926362635
727	0.5922876137
728	0.5919072462
729	0.5912901627
730	0.5910399149
731	0.59034429
732	0.5899442311
733	0.5895273403
734	0.5890078145
735	0.588243092
736	0.5879364239
737	0.5873450247
738	0.5869694903
739	0.5865561448
740	0.5860356936
741	0.585730299
742	0.5852969964
743	0.5848770574
744	0.584449343
745	0.5838046083
746	0.5833201144
747	0.5828626724
748	0.5824256057
749	0.5820753429
750	0.5816593094
751	0.5813926935
752	0.5807500589
753	0.5803773152
754	0.5798305234
755	0.5793359925
756	0.578940148
757	0.5786851458
758	0.5783659924
759	0.577908848
760	0.5773587019
761	0.5769085799
762	0.5764277115
763	0.5762559294
764	0.5758466192
765	0.5755590661
766	0.5751658552
767	0.5746667047
768	0.5742780569
769	0.574049665
770	0.5734696622
771	0.5733424132
772	0.5727797532
773	0.5721776009
774	0.5719113757
775	0.5713436415
776	0.5709422378
777	0.5705003823
778	0.5701272749
779	0.5697500302
780	0.5692653785
781	0.5688977453
782	0.568456684
783	0.5679331352
784	0.56771402
785	0.5674983415
786	0.5670934787
787	0.5666940834
788	0.5664103524
789	0.5661449872
790	0.5654672334
791	0.5651313028
792	0.5647007218
793	0.5642596406
794	0.5639075587
795	0.5633409124
796	0.5629831862
797	0.5625080293
798	0.5621843962
799	0.5617755896
800	0.5611659079
801	0.5607710609
802	0.5606364707
803	0.5602546882
804	0.5598519328
805	0.5596940873
806	0.5591417708
807	0.5587257357
808	0.5585346604
809	0.5582272081
810	0.5579479009
811	0.5575602086
812	0.5573109313
813	0.5567868691
814	0.5563949008
815	0.5560899504
816	0.5556689321
817	0.5552915026
818	0.5548061621
819	0.5543594749
820	0.5541645282
821	0.5537775592
822	0.5532035187
823	0.5527066309
824	0.5524327952
825	0.5518356347
826	0.5514020773
827	0.5511525364
828	0.5506464026
829	0.5501723682
830	0.549683171
831	0.5494374065
832	0.5491109308
833	0.5487542333
834	0.5480657417
835	0.5477227672
836	0.5472263947
837	0.5467995503
838	0.5462807547
839	0.545935222
840	0.5456764856
841	0.545164004
842	0.5447472251
843	0.5443950846
844	0.5440261985
845	0.543605702
846	0.5432468828
847	0.5427336452
848	0.5424252632
849	0.5419990318
850	0.541635677
851	0.5412714259
852	0.5409907119
853	0.5407046727
854	0.5404382728
855	0.5399917964
856	0.5396978354
857	0.5393041544
858	0.538896093
859	0.5385752904
860	0.5383365709
861	0.5380627285
862	0.537726639
863	0.5373234791
864	0.5369721751
865	0.5365755114
866	0.5362261024
867	0.5358617069
868	0.5355921515
869	0.535257792
870	0.5349674114
871	0.5346168504
872	0.5341293084
873	0.5338108339
874	0.5335151639
875	0.5330189452
876	0.5326136455
877	0.5321708138
878	0.5319972193
879	0.5316268717
880	0.5314174411
881	0.5311114491
882	0.5307443354
883	0.5303884833
884	0.5300742236
885	0.5296154038
886	0.5292043441
887	0.5289362351
888	0.5286606157
889	0.5282850082
890	0.5277783574
891	0.5273601158
892	0.5270180993
893	0.5268377062
894	0.5265225699
895	0.5262614932
896	0.5260572574
897	0.525536418
898	0.5252518356
899	0.524872723
900	0.5245481522
901	0.5241973321
902	0.5237301622
